id,idea,source,section,kind,law,vibe,language_fit_budget,build,anti_slop,risk,sort_key,page
X-27,"Reject-if: a capture control floats over a photograph, or any text sits on an image.",board-12-mercury,H1 · D2,reject-if,n-a,—,Layer 1 already forbids text on photography; this names the specific composition that breaks it,—,frosted capsule over hero photo,—,1,HOME
X-28,"Reject-if: one centre axis carries a glowing app-icon tile, an uppercase eyebrow, the headline, the deck and the button, with an italic serif tail on a grotesk line.",negative-1-landio,H1,reject-if,n-a,—,Beeond's italic is inside its own display face and carries meaning; the tell is italic serif bolted onto a grotesk as an AI signal,—,centred hero · logo glow,—,1,HOME
X-29,"Reject-if: the accent appears more than twice — a status pill, a coloured word inside the headline, the button and a control all in one hue.",negative-2-nexus,any,reject-if,n-a,—,"Layer 1 allows the accent on the primary call to action only, at most twice per page",—,acid accent · glass nav pill · grid mesh,—,50,OTHER
X-30,"Reject-if: a row of icon-and-text reassurance items under the buttons, or three pastel cards carrying large figures.",negative-3-omrix,D2 · H6,reject-if,n-a,—,D2's trust line is one line of mono under the button; three iconed items is the drift to guard,—,three-equal-card bento · trust row · tilted dashboard,—,5,HOME
X-31,"Reject-if: humans arrive as an illustrated cast standing in a row, or the ground is a saturated brand colour with a line-art world drawn on it.",negative-4-hiview,any,reject-if,n-a,—,"The most dangerous of the four for Beeond, whose whole claim is that a named person signs off",—,illustrated cast · glass nav bar · logo strip,—,50,OTHER
X-32,"The bee the swarm resolves into is the mark's own silhouette read at photographic scale — small cell as head, two chamfered cells as wings, stripe cell as the striped abdomen.",LOGO-final-black · LOGO-09 · LOGO-14,H1,image,yes,futuristic · human,"Answers the founder's half-bee character without drawing a character; **brushes ""mark-as-real-object""**, which Layer 3 lists as not used — the defence is that the swarm resolves *into* the silhouette rather than the mark being placed in the world",MEDIUM,none,"If it reads as the logo dropped into the photograph, the hero becomes an advertisement for the mark",1,HOME
X-33,"Derive the system radius and gutter from the mark: the filleted corner radius as a ratio of one cell width, the gutter from the mark's own cross-shaped negative space.",LOGO-final-black · `_index-logo` Part 2 · LOGO-14,global tokens,layout,n-a,expensive · clean,Layer 1 requires one radius and one gutter but never says where the number comes from; this makes both trace to the locked asset,EASY,none,The mark's radius may be optically wrong for a 900px card; check at both extremes before locking,30,SITE-WIDE
X-34,"Loading and route change: the mark assembles from scattered dots travelling along the flight-line diagonal, the stripe cell resolving last. Reduced motion shows the settled mark only.",LOGO-07,loading · route transition,motion,yes,futuristic · technological,§11 already names the halftone construction as the loading device; the travel direction and the resolve order are new,MEDIUM,none,A loader the site does not need is a loader that only ever delays it,40,TOUCHPOINT/OFF-SITE
X-35,"One dot pitch site-wide: the set-piece, any dot field and the mark's own halftone share a single grid pitch, so three appearances read as one system.",LOGO-07,global renderer,image,yes,technological · clean,Layer 4b already fixes pitch across frames; this extends the same constant across surfaces,EASY,none,A pitch that suits the mark at 40px will be far too coarse for a full-bleed canvas; it may have to be one ratio rather than one number,30,SITE-WIDE
X-36,"The fine mesh as a ground material for a single section-transition band — neutral, no photograph beneath it, the grid as fabric rather than as an overlay.",LOGO-06,section transition,image,n-a,expensive · minimal,"Moment 5 is a photograph shot *through* a physical mesh; this is the mesh as a surface, which spends no moment",EASY,none,"Nothing derives it from a subject, so it is decoration by the law's own test unless it stays a material",40,TOUCHPOINT/OFF-SITE
X-37,"The swarm's rendering rule, proven on the mark: one particle, and density is the only variable. Sparse is ground and sky, dense is subject, and nothing else changes.",LOGO-03,H1 · H7,image,yes,futuristic · minimal,Turns §2's sentence into a renderer constraint; satisfies the compositing rule that marks stay opaque and the ground reads through the gaps,MEDIUM,none,A single particle at one size can read as noise rather than as a swarm; scale may have to vary with density,1,HOME
X-38,"Ship the mark flat: ink on bone, warm off-white on black, no glow and no drop shadow, which means the supplied glow and shadow variants are not site assets.",LOGO-05 · LOGO-08 · LOGO-09 · LOGO-10,global asset rule,component,n-a,clean · minimal,Layer 1 forbids drop shadows outright; three of the seventeen supplied files carry one,EASY,none,None,30,SITE-WIDE
X-39,"The mark is the frame's un-effected anchor: wherever it sits over a treated image it stays flat and opaque, and it is the one place the eye lands.",LOGO-12,any image carrying the mark,image,yes,expensive · clean,"Satisfies the compositing rule ""one un-effected anchor per frame"" with an element the site already owns",EASY,none,"If the mark is the anchor everywhere, it appears on more photographs than the restraint budget wants",50,OTHER
X-40,"High-key threshold portraiture — a figure blown to near-white silhouette against grey, the mark the only black shape — for the social and email templates, never for the founders.",LOGO-12,LinkedIn / OG template · confirmation email,off-site,partial,expensive · human,"Draws on the reserve's ""high-key threshold posterization""; **conflicts** with §12's rule that founder portraits keep skin, so it is barred from B1 and A4",MEDIUM,none,Off-site imagery that looks nothing like the site is a second brand,40,TOUCHPOINT/OFF-SITE
X-41,"Footer sign-off: the mark at large scale as hairline outline only, ground on ground, an engraving rather than a logo.",LOGO-13,footer,component,n-a,expensive · minimal,"Hairline as decorative structure, not a control — inside the Layer 1 rule",EASY,none,"Below a certain contrast it disappears entirely on a dimmed display, which is acceptable for a watermark and not for a logo",10,HOME
X-42,"Favicon, two options with the tension named: the chamfered cell alone, or the small heptagon alone. Both survive 16px; the full mark does not.",LOGO-final-black · `_index-logo` Part 2 · LOGO-11,favicon,component,n-a,clean,§11 lists the favicon as OPEN and founder-owned; this narrows it to two candidates and nothing more,EASY,none,"Reversible — a favicon costs minutes to change, so this is the cheapest open item on the list",40,TOUCHPOINT/OFF-SITE
X-43,"Register the mark to the column grid: it occupies exactly one grid cell in the nav and in the footer, and the exposed hairline rules run through its own gutter.",LOGO-15,nav · footer · global,layout,n-a,clean · expensive,The founder's own applied mockup already shows the mark set inside visible thirds guides; the invariant grid does the rest,EASY,none,None,0,HOME
X-44,"The circled numeral and a corner spec block as the instrument device: section index, Approach chapter anchors, the audit's plate numbers.",LOGO-16,running head · A1 · audit document,component,n-a,technological · expensive,"Gives §10's bare numerals a form; the numerals are indices, not claims, so the NEVER list is untouched",EASY,none,"A circled numeral beside a numeric index is one numeral too many; pick the ring or the slash form, not both",11,APPROACH
X-45,Reject-if: the azure and navy palette from the palette board is treated as the site's colour.,LOGO-16 · LOGO-14 · LOGO-15,any,reject-if,n-a,—,"Layer 1 is neutral and photography owns colour; blue arrives as sky in a photograph, never as a fill",—,cool SaaS blue,—,50,OTHER
X-46,Reject-if: the engraved-glass card is reproduced on screen with blur and transparency.,LOGO-13,any,reject-if,n-a,—,The reference is a real material photographed; the CSS imitation of it is the named tell,—,glassmorphism,—,50,OTHER
X-47,Reject-if: the mark is composited into a photograph as a physical object in the world.,LOGO-11 · LOGO-12,any,reject-if,n-a,—,"Layer 3 lists mark-as-real-object under ""not used""; X-32 is the one permitted adjacency and it is a silhouette, not an object",—,none,—,50,OTHER
S-01,Ground changes stop being straight cuts: bone and black interlock in a one-row-deep band of mosaic tiles along the flight-line diagonal.,`speakeasy-FOUNDER-PICK-fullpage.png` · `speakeasy-desktop-full.png`,every chapter boundary (ground map §1.5),layout,yes,expensive · technological,"No conflict — the invariant already says *every photo edge is a mosaic dissolve*; this extends the same physics to the ground boundary, so it is through-line, not a moment. Spends no moment. Displaces nothing.",MEDIUM,none,a dissolve band at every boundary could read as a repeating decorative frieze if the tile scale is not tied to the radius token,30,SITE-WIDE
S-02,"H7's four rows carry an ink hierarchy: one option at full ink, the other three at muted, each with a small mono superscript index.",`rzlt-desktop-full.png` · `oriol-desktop-full.png`,HOME H7 What you're choosing between,type,n-a,minimal · expensive,"No conflict. Loud by subtraction, which is what H7 already is. Spends no moment and no accent. Displaces the flat four-row treatment in brainstorm §4.",EASY,none,"ink-value hierarchy is an argument made by weight, so a founder who wants all four options read as equals will lose that reading",6,HOME
S-03,"H7 row anatomy: the option's name right-aligned at the row's top, its one consequence line left, hairline under, mono tag at the row's foot.",`basement-desktop-full.png`,HOME H7,layout,n-a,technological · clean,No conflict — hairline rows are already the section's form. Works with S-02. Displaces nothing; refines the row's interior.,EASY,none,"a right-aligned name over a left-aligned line needs a wide viewport, so the two collapse into one stack early on mobile",6,HOME
S-04,"A4: Yarden's blob crop set inline, at x-height, *inside* the sentence that says a person signs off — not beside it in the margin.",`oriol-desktop-hero.png`,APPROACH A4 A person signs off on it,image · type,yes,human · expensive,No conflict — the shape is still the mark's heptagon-derived blob and the dial is still edge-physics only. Spends no moment. Displaces the margin figure in brainstorm §4.,MEDIUM,none,"an inline figure inherits line-height, so a portrait small enough to sit in text may be too small to read as a person",13,APPROACH
S-05,"Footer: the wordmark at display scale, cropped by both frame edges, in the hairline value, with the year alongside in mono.",`basement-desktop-full.png` · `speakeasy-FOUNDER-PICK-fullpage.png` · `speakeasy-desktop-full.png` · `jasper-desktop-full.png`,footer (every page),type · component,partial,expensive · minimal,"Needs the wordmark face, which is **OPEN** (brainstorm §8). Not moment 7 — that is a knockout *in a photograph* at B5; this is type on ground. The year is a number as texture, not a claim.",EASY,none,"a giant wordmark on every page is a second cropped-letterform event, so B5's knockout has to stay clearly louder or the moment budget is quietly broken",10,HOME
S-06,"Home's footer returns to the hero's black instead of bone, so the page opens and closes on one ground.",`mailchimp-desktop-full.png` · `speakeasy-FOUNDER-PICK-fullpage.png` · `basement-desktop-full.png`,HOME footer · ground map,layout,n-a,expensive · clean,No invariant conflict — ground alternates by chapter and this makes the footer its own chapter. **Displaces** the bone footer in brainstorm §1.5.,EASY,none,"the meadow at H10 dissolves *into bone*, so a black footer directly beneath it puts a hard cut where the page's warmest moment ends",10,HOME
S-07,"H6 becomes a hairline-ruled table of cells, one covered item per cell, so coverage reads as an index rather than four paragraphs.",`basement-desktop-full.png` · `alefalefalef-desktop-full.png`,HOME H6 What's covered,layout,n-a,technological · clean,"Sits on the ""hairlines expose the column grid, carry no content"" invariant. **Partial risk of conflict** with *no borders*: the rules must read as grid exposure, never as a boundary around a control. Displaces the four-column list.",EASY,none,"a full grid of hairlines is one step from a bordered table, which the invariant forbids, so the read has to be checked at every breakpoint",5,HOME
S-08,H9 and D4 pin the section title in the left column while the five Q&A rows run down the right.,`speakeasy-desktop-full.png` · `jasper-desktop-full.png`,HOME H9 · ASK D4,layout,n-a,clean · minimal,"No conflict. Rows stay open, not accordions — both references use accordions and Beeond does not. Displaces the stacked title-above-rows arrangement.",EASY,none,"a pinned title beside rows invites `position: sticky`, which would add a second pinned element and break the one-set-piece rule",8,HOME
S-09,"Each Q&A row carries a mono circled index at the outer edge, so five rows read as a numbered set.",`alefalefalef-desktop-full.png`,HOME H9 · ASK D4,type,n-a,technological · futuristic,"Numbers as instrument texture, which brainstorm §10 permits by name; no figure could be mistaken for a claim. Displaces nothing.",EASY,none,"circled numerals are a font-dependent glyph, so drawing them as text risks a fallback that ships a rectangle",8,HOME
S-10,The running head becomes a persistent outer-margin rail of mono chapter labels rather than a fixed bar across the top.,`alefalefalef-desktop-full.png` · `da-magazine-desktop-full.png`,"every page, instrument layer",component,n-a,technological · futuristic,"**Already proposed** (brainstorm §10, as a running head). New: it is a *rail in the outer margin*, evidenced twice, and it is the element that mirrors most cleanly.",MEDIUM,none,"a margin rail needs a margin, so at narrow widths it has to become the top-bar version and the two states must agree",30,SITE-WIDE
S-11,"H3's three stepped blocks each carry a mono index; hairline elbow links run between them, on the 45° diagonal only.",`speakeasy-FOUNDER-PICK-fullpage.png` · `rzlt-desktop-hero.png`,HOME H3 How the work gets done,layout · type,partial,technological · clean,"The diagonal is the mark's own flight line, so the connector is derived from the mark rather than drawn. Spends no moment. Adds to the stepped layout in brainstorm §4.",EASY,none,"connector lines between blocks read as a flow diagram, which is the nearest thing on this site to a product illustration",2,HOME
S-12,404: the swarm scattered across the field and never resolving into the bee — the one page where the marks stay marks.,`speakeasy-desktop-hero.png`,404 touchpoint,image · motion,yes,futuristic · technological,"Uses the hero's glyph renderer with no mask, so no new asset and no new moment. **Displaces** brainstorm §11's bare 404 (bone, one serif line, outlined button).",MEDIUM,none,"a 404 that is more interesting than a section is a page you want people to find, which is the wrong incentive",40,TOUCHPOINT/OFF-SITE
S-13,"The glyph subject can be drawn on bare ground with no photograph beneath it, cropped hard by two frame edges.",`speakeasy-desktop-hero.png`,"HOME H1 hero, as an alternate",image,partial,futuristic · minimal,"**Related to already-proposed** §17.1. Honest note: with no photograph there is no subject to derive from, so this is the weakest of the set on the law and is offered as an alternate, not a replacement for the hero.",MEDIUM,none,"removing the photograph removes the human, and the through-line's constant is the human, not the marks",1,HOME
S-14,"Mobile is art-directed by removal, not reflow: fewer cells, and a page shorter than desktop rather than twice its length.",`basement-mobile-full.png` · `basement-desktop-full.png` · `jasper-mobile-full.png` · `speakeasy-mobile-full.png`,"every page, mobile",layout,n-a,expensive · clean,"No conflict, and it is the same discipline as the second hero crop in brainstorm §5. Displaces nothing; it is a rule for how every section shortens.",MEDIUM,none,"removing cells on mobile means two content sets to keep in agreement, and they drift",30,SITE-WIDE
S-15,"D2 alternate: the whole ask on one row — two fields and the accent submit in a single band, so the form is one line.",`alefalefalef-desktop-hero.png`,ASK D2 the form,component,n-a,minimal · clean,"**Displaces** the two tall stacked fields in brainstorm §11. Offered with the reason it may lose: tall full-width targets are the Fitts's-law answer on mobile, and this is the page that must not fail there.",EASY,none,"a one-row form has nowhere to put a per-field error message without shifting layout, and CLS must be zero",21,ASK
S-16,"B1: shoot both portraits at identical distance, lens and light, so the pair reads as one specimen sheet rather than two photographs.",`da-magazine-desktop-full.png`,ABOUT B1 Adam and Yarden,image,n-a,human · expensive,No conflict — a constraint on the only assets no engine can produce (brainstorm §12). Displaces nothing; it is a line for the photography brief.,EASY,none,"matching two portraits taken on different days is a real production constraint, and About cannot ship without them",16,ABOUT
S-17,H8 is the site's quietest ask: one line and the outlined button at the smallest size the target minimum allows.,`basement-desktop-full.png` · `speakeasy-FOUNDER-PICK-fullpage.png` · `jasper-desktop-full.png` · `mailchimp-desktop-full.png`,HOME H8 the ask beat,layout,n-a,expensive · minimal,"No conflict — H8 stays a section and stays a button, so nothing is cut. Weight, not distance, ranks it under H10 and D2. Sharpens brainstorm §4.",EASY,none,"an ask deliberately made quiet may simply be missed, and it is the only ask between the hero and the close",7,HOME
S-18,"Hero scroll cue: one small mono line at the bottom centre of the black ground, the only mark in that region.",`basement-desktop-hero.png`,HOME H1 hero,type,n-a,technological · clean,"**Already proposed** (brainstorm §10, ""(Scroll)"" plus local time in the corner). New: the evidenced placement is bottom *centre* and alone, not cornered with the timestamp.",EASY,none,"a centred cue under an asymmetric hero is the one centred element on the page, so it either reads as deliberate or as a default",1,HOME
S-19,"The mono section eyebrow is the one slot a second script could later occupy, stacked beneath the first, with nothing else changing.",`bezalel-desktop-hero.png` · `bezalel-desktop-full.png`,every section eyebrow,type,n-a,human · technological,Language and market scope are **OPEN** and this asserts nothing about them. It reserves an affordance so a later scope decision does not force a redesign. Displaces nothing.,EASY,none,reserving space for a decision nobody has made can freeze a layout around a scope that never arrives,30,SITE-WIDE
S-20,"If the site ever mirrors, the mark's 45° flight lines mirror with it — otherwise every reveal and dissolve front reads as retreating.",`bezalel-desktop-hero.png` · `alefalefalef-desktop-hero.png` · `da-magazine-desktop-hero.png`,motion system (brainstorm §7 rule 1),motion,yes,technological · futuristic,"The diagonal is the locked mark's own geometry, so mirroring it is a **founder decision about the mark**, not a Phase 2 call. Escalate rather than assume. Displaces nothing today.",MEDIUM,none,"the direction is baked into every reveal, so discovering this after build means touching every animated element",40,TOUCHPOINT/OFF-SITE
S-21,"Nav: a mono dot-leader separates the two links from the ask, instead of a gap.",`basement-desktop-hero.png`,nav (every page),type · interaction,n-a,technological · clean,"Two links and one button at every width is unchanged (brainstorm §11); this is the separator only, and dots are already the site's vocabulary. Displaces the plain gap.",EASY,none,a dotted leader beside the primary ask is one more mark next to the one thing that must stay obvious,0,HOME
S-22,"Social template: black ground, one element cropped by two edges, a mono caption block at the foot. A specimen panel, never a quote card.",`alefalefalef-desktop-hero.png` · `basement-desktop-full.png`,LinkedIn / social templates — **off-site**,off-site,partial,expensive · futuristic,"Off-site, marked. Carries no testimonial, no number, no logo, no product word. Reuses S-05's cropped-letterform logic rather than adding a device. Displaces nothing on the site.",EASY,none,"off-site templates are used by whoever posts, so a template that needs judgement to fill will be filled badly",40,TOUCHPOINT/OFF-SITE
